booking_id,booking_date,due_date,payment_date,fiscal_year,month,quarter,document_number,document_type,booking_type,account_code,account_name,counter_account_code,counter_account_name,statement_section,category,partner_name,cost_center,payment_method,quantity,unit_price_net,amount_net,vat_rate,vat_amount,amount_gross,currency,is_paid,is_recurring,has_attachment,is_credit_note,notes
1,2025-05-21,2025-05-28,2025-06-24,2025,5,Q2,DOC-2025-0001,invoice,expense,5000,Wareneinsatz,2000,Verbindlichkeiten aus Lieferungen und Leistungen,guv,cogs,AWS,operations,bank_transfer,2,314.69,629.38,0.19,119.58,748.96,EUR,True,False,True,False,
2,2025-12-26,2026-01-25,2026-01-12,2025,12,Q4,DOC-2025-0002,invoice,revenue,4200,Sonstige betriebliche Ertraege,1000,Bank,guv,other_income,Green Office,training,card,1,1312.64,1312.64,0.19,249.40,1562.04,EUR,True,False,True,False,Workshop
3,2025-07-14,2025-08-13,,2025,7,Q3,DOC-2025-0003,invoice,revenue,4000,Umsatzerloese Dienstleistungen,1000,Bank,guv,service,Innotech AG,consulting,bank_transfer,5,231.57,1157.85,0.19,219.99,1377.84,EUR,False,False,False,False,
4,2025-11-13,2025-11-20,2025-11-17,2025,11,Q4,DOC-2025-0004,receipt,revenue,4200,Sonstige betriebliche Ertraege,1000,Bank,guv,other_income,Beta Solutions,training,card,1,1976.63,1976.63,0.19,375.56,2352.19,EUR,True,False,True,False,Workshop
5,2025-03-25,2025-04-08,2025-03-29,2025,3,Q1,DOC-2025-0005,invoice,expense,5200,Software und Lizenzen,1000,Bank,guv,software,CoWorking Berlin,it,card,10,12.37,123.65,0.19,23.49,147.14,EUR,True,True,True,False,SaaS Abo
6,2025-04-23,2025-04-30,,2025,4,Q2,DOC-2025-0006,receipt,expense,5400,Reisekosten,1000,Bank,guv,travel,Notebookshop,sales,cash,4,63.06,252.23,0.07,17.66,269.89,EUR,False,False,True,False,Dienstreise
7,2025-04-19,2025-05-19,2025-05-18,2025,4,Q2,DOC-2025-0007,invoice,expense,5200,Software und Lizenzen,1000,Bank,guv,software,Telekom,it,card,3,67.84,203.52,0.19,38.67,242.19,EUR,True,True,True,False,SaaS Abo
8,2025-04-23,2025-05-07,2025-04-28,2025,4,Q2,DOC-2025-0008,invoice,expense,5200,Software und Lizenzen,1000,Bank,guv,software,Bahn,it,card,1,299.25,299.25,0.19,56.86,356.11,EUR,True,True,True,False,
9,2025-09-28,2025-10-05,2025-10-05,2025,9,Q3,DOC-2025-0009,invoice,revenue,4100,Umsatzerloese Produkte,1200,Forderungen aus Lieferungen und Leistungen,guv,product,Futura Labs,software,bank_transfer,11,51.35,564.83,0.19,107.32,672.15,EUR,True,False,True,False,Softwarelizenz
10,2025-09-14,2025-09-21,2025-10-03,2025,9,Q3,DOC-2025-0010,invoice,expense,5200,Software und Lizenzen,1000,Bank,guv,software,Microsoft,it,card,11,21.21,233.35,0.19,44.34,277.69,EUR,True,True,True,False,SaaS Abo
11,2025-11-03,2025-11-17,2025-11-22,2025,11,Q4,DOC-2025-0011,credit_note,expense,5000,Wareneinsatz,2000,Verbindlichkeiten aus Lieferungen und Leistungen,guv,cogs,AWS,operations,bank_transfer,4,198.56,794.24,0.19,150.91,945.15,EUR,True,False,True,True,
12,2025-03-07,2025-03-14,,2025,3,Q1,DOC-2025-0012,invoice,expense,5100,Marketingkosten,1000,Bank,guv,marketing,CoWorking Berlin,marketing,card,5,124.20,621.00,0.19,117.99,738.99,EUR,False,False,True,False,Onlinekampagne
13,2025-12-10,2026-01-09,2026-01-07,2025,12,Q4,DOC-2025-0013,invoice,expense,5300,Miete,1000,Bank,guv,rent,Adobe,admin,bank_transfer,2,612.47,1224.94,0.19,232.74,1457.68,EUR,True,True,True,False,Buero Miete
14,2025-01-31,2025-02-14,,2025,1,Q1,DOC-2025-0014,invoice,revenue,4200,Sonstige betriebliche Ertraege,1000,Bank,guv,other_income,Havel Hotel,training,card,2,348.22,696.44,0.19,132.32,828.76,EUR,False,False,True,False,Workshop
15,2025-05-05,2025-05-12,,2025,5,Q2,DOC-2025-0015,invoice,expense,5300,Miete,1000,Bank,guv,rent,Notebookshop,admin,bank_transfer,2,646.16,1292.31,0.19,245.54,1537.85,EUR,False,True,True,False,
16,2025-02-01,2025-02-08,2025-02-16,2025,2,Q1,DOC-2025-0016,invoice,expense,5000,Wareneinsatz,2000,Verbindlichkeiten aus Lieferungen und Leistungen,guv,cogs,Notebookshop,operations,bank_transfer,4,239.36,957.45,0.19,181.92,1139.37,EUR,True,False,True,False,Wareneinkauf
17,2025-02-20,2025-02-27,,2025,2,Q1,DOC-2025-0017,receipt,revenue,4200,Sonstige betriebliche Ertraege,1000,Bank,guv,other_income,City Bakery,training,card,2,174.33,348.65,0.19,66.24,414.89,EUR,False,False,True,False,Workshop
18,2025-07-14,2025-07-28,2025-08-01,2025,7,Q3,DOC-2025-0018,invoice,expense,5100,Marketingkosten,1000,Bank,guv,marketing,Telekom,marketing,card,7,11.68,81.77,0.19,15.54,97.31,EUR,True,False,True,False,Onlinekampagne
19,2025-10-24,2025-11-07,2025-10-27,2025,10,Q4,DOC-2025-0019,invoice,revenue,4000,Umsatzerloese Dienstleistungen,1000,Bank,guv,service,Innotech AG,consulting,bank_transfer,1,3522.23,3522.23,0.19,669.22,4191.45,EUR,True,False,False,False,
20,2025-02-04,2025-02-11,2025-02-19,2025,2,Q1,DOC-2025-0020,receipt,revenue,4200,Sonstige betriebliche Ertraege,1000,Bank,guv,other_income,Green Office,training,card,10,156.67,1566.66,0.19,297.67,1864.33,EUR,True,False,True,False,Workshop
21,2025-06-10,2025-07-10,2025-06-29,2025,6,Q2,,receipt,revenue,4200,Sonstige betriebliche Ertraege,1000,Bank,guv,other_income,Beta Solutions,training,card,8,89.43,715.44,0.19,135.93,851.37,EUR,True,False,True,False,Workshop
22,2025-04-20,2025-05-04,2025-04-24,2025,4,Q2,DOC-2025-0022,invoice,revenue,4200,Sonstige betriebliche Ertraege,1000,Bank,guv,other_income,Innotech AG,training,card,4,309.12,1236.48,0.19,234.93,1471.41,EUR,True,False,True,False,Workshop
23,2025-12-08,2026-01-07,2025-12-14,2025,12,Q4,DOC-2025-0023,invoice,expense,5000,Wareneinsatz,2000,Verbindlichkeiten aus Lieferungen und Leistungen,guv,cogs,Telekom,operations,bank_transfer,3,606.53,1819.58,0.19,345.72,2165.30,EUR,True,False,True,False,Wareneinkauf
24,2025-11-21,2025-12-05,2025-11-24,2025,11,Q4,,receipt,revenue,4200,Sonstige betriebliche Ertraege,1000,Bank,guv,other_income,Alpha GmbH,training,card,2,956.59,1913.18,0.19,363.50,2276.68,EUR,True,False,True,False,Workshop
25,2025-08-15,2025-08-22,2025-08-22,2025,8,Q3,DOC-2025-0025,receipt,revenue,4200,Sonstige betriebliche Ertraege,1000,Bank,guv,other_income,City Bakery,training,card,2,662.89,1325.78,0.19,251.90,1577.68,EUR,True,False,True,False,Workshop
26,2025-01-22,2025-01-29,,2025,1,Q1,DOC-2025-0026,invoice,revenue,4000,Umsatzerloese Dienstleistungen,1000,Bank,guv,service,Beta Solutions,consulting,bank_transfer,6,323.43,1940.56,0.19,368.71,2309.27,EUR,False,False,True,False,Webprojekt
27,2025-05-02,2025-05-09,,2025,5,Q2,DOC-2025-0027,credit_note,expense,5100,Marketingkosten,1000,Bank,guv,marketing,Microsoft,marketing,card,7,112.71,788.98,0.19,149.91,938.89,EUR,False,False,True,True,Onlinekampagne
28,2025-05-17,2025-05-31,2025-05-19,2025,5,Q2,DOC-2025-0028,invoice,expense,5100,Marketingkosten,1000,Bank,guv,marketing,Office Depot,marketing,card,8,26.32,210.54,0.19,40.00,250.54,EUR,True,False,True,False,Onlinekampagne
29,2025-04-09,2025-04-16,2025-04-26,2025,4,Q2,DOC-2025-0029,invoice,revenue,4200,Sonstige betriebliche Ertraege,1000,Bank,guv,other_income,Innotech AG,training,card,6,171.17,1027.01,0.19,195.13,1222.14,EUR,True,False,True,False,Workshop
30,2025-05-16,2025-05-30,2025-06-05,2025,5,Q2,DOC-2025-0030,invoice,revenue,4200,Sonstige betriebliche Ertraege,1000,Bank,guv,other_income,Green Office,training,card,7,46.37,324.60,0.19,61.67,386.27,EUR,True,False,True,False,
31,2025-10-03,2025-11-02,,2025,10,Q4,DOC-2025-0031,invoice,revenue,4200,Sonstige betriebliche Ertraege,1000,Bank,guv,other_income,Futura Labs,training,card,11,144.49,1589.37,0.19,301.98,1891.35,EUR,False,False,True,False,Workshop
32,2025-06-08,2025-07-08,2025-06-26,2025,6,Q2,DOC-2025-0032,invoice,expense,5400,Reisekosten,1000,Bank,guv,travel,Notebookshop,sales,cash,9,27.42,246.74,0.07,17.27,264.01,EUR,True,False,False,False,Dienstreise
33,2025-01-01,2025-01-31,2025-01-21,2025,1,Q1,DOC-2025-0033,receipt,revenue,4200,Sonstige betriebliche Ertraege,1000,Bank,guv,other_income,Innotech AG,training,card,8,105.32,842.56,0.19,160.09,1002.65,EUR,True,False,False,False,Workshop
